YEAR,MONTH,DAY,TMAX,TMIN
2016,1,24,31.2,21.6
2016,1,25,28.5,21.5
2016,1,26,27.6,22
2016,1,27,28.7,23.4
2016,1,28,31,23.8
2016,1,29,30.2,23.4
2016,1,30,31.8,24.2
2016,1,31,32.4,24
2016,2,1,32.2,22.7
2016,2,2,31.4,23.7
2016,2,3,30.2,24.7
2016,2,4,31.4,24.8
2016,2,5,31.3,24.5
2016,2,6,28.4,21.8
2016,2,7,27.3,20.4
2016,2,8,27.8,20.4
2016,2,9,29.5,22.9
2016,2,10,30.4,22.4
2016,2,11,31,21.6
2016,2,12,30.7,21.2
2016,2,13,32.7,22.7
2016,2,14,32,21.2
2016,2,15,29.6,24
2016,2,16,29.2,21.2
2016,2,17,30.6,21.8
2016,2,18,31.4,22.4
2016,2,19,31.6,23.4
2016,2,20,31.8,23
2016,2,21,31,23.4
2016,2,22,31.5,23.2
2016,2,23,32,23.2
2016,2,24,31.9,23.2
2016,2,25,29,23
2016,2,26,29.4,22.4
2016,2,27,31.4,24.5
2016,2,28,31.4,25
2016,2,29,31.1,23
2016,3,1,29.8,23.5
2016,3,2,29.7,23.8
2016,3,3,30.5,23
2016,3,4,30,24.8
2016,3,5,33.2,24
2016,3,6,33.6,23.6
2016,3,7,34.3,25.2
2016,3,8,33.8,23.6
2016,3,9,33.8,25.8
2016,3,10,33.4,24.8
2016,3,11,34.4,25.4
2016,3,12,33,24.4
2016,3,13,31.8,23
2016,3,14,33.1,24.6
2016,3,15,32,24
2016,3,16,33.6,25.2
2016,3,17,33.2,24.4
2016,3,18,32.8,25.4
2016,3,19,35,24.6
2016,3,20,34,24.1
2016,3,21,35,24.8
2016,3,22,33.2,25.6
2016,3,23,34.4,24.4
2016,3,24,34.6,25.4
2016,3,25,33.4,24
2016,3,26,32.6,23.8
2016,3,27,31.7,23.4
2016,3,28,29.4,22.8
2016,3,29,30.5,24.8
2016,3,30,32.5,25.2
2016,3,31,34.2,25.2
2016,4,1,34.1,25.7
2016,4,2,33.4,24
2016,4,3,34.5,23.9
2016,4,4,34.5,25
2016,4,5,33.4,25.2
2016,4,6,32.6,23.7
2016,4,7,33.7,24.6
2016,4,8,33,25
2016,4,9,34.6,24.8
2016,4,10,34.4,25.4
2016,4,11,35.5,25.7
2016,4,12,35.2,25.8
2016,4,13,35.6,26.6
2016,4,14,37,27
2016,4,15,36.4,26.7
2016,4,16,35.6,26.4
2016,4,17,37,25
2016,4,18,37,26.7
2016,4,19,37,26.3
2016,4,20,34.6,24.8
2016,4,21,34.8,25.8
2016,4,22,37,24.2
2016,4,23,35.3,25.4
2016,4,24,35.6,26.8
2016,4,25,36,27
2016,4,26,36.4,23.7
2016,4,27,36.1,27
2016,4,28,36.2,26.5
2016,4,29,35.8,26
2016,4,30,34.5,26
2016,5,1,35.8,24.6
2016,5,2,35.2,27.2
2016,5,3,36.4,27.3
2016,5,4,35.8,25.6
2016,5,5,35.6,27
2016,5,6,35.2,26.4
2016,5,7,35.6,25.6
2016,5,8,35.8,26.4
2016,5,9,35.5,26.2
2016,5,10,35.6,27.4
2016,5,11,34.8,26.2
2016,5,12,33.4,26.9
2016,5,13,35.2,26.2
2016,5,14,34.4,26.6
2016,5,15,35.4,24.8
2016,5,16,34.5,25.2
2016,5,17,33.1,25.7
2016,5,18,34,24.2
2016,5,19,33,23.6
2016,5,20,30.4,24.6
2016,5,21,34,26.2
2016,5,22,32.4,25.5
2016,5,23,32.8,26.3
2016,5,24,31,26.2
2016,5,25,33.4,24.8
2016,5,26,32.2,26.1
2016,5,27,34.8,26.2
2016,5,28,34.8,26.8
2016,5,29,32.8,24.6
2016,5,30,34.2,25.8
2016,5,31,34,24.8
2016,6,1,33,25.8
2016,6,2,33.7,24.8
2016,6,3,32.4,25.4
2016,6,4,33.4,24.8
2016,6,5,32.8,24.6
2016,6,6,32.5,25
2016,6,7,33.2,24.4
2016,6,8,32.3,25.2
2016,6,9,31.3,24.9
2016,6,10,31.2,25.6
2016,6,11,33.6,26.2
2016,6,12,33.4,25
2016,6,13,32.8,24.8
2016,6,14,32.6,26.2
2016,6,15,34.8,26.2
2016,6,16,34.5,27.8
